FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,651.18,0,3660.37,2934.61,0,1028,1033,49.88,50.12,39.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531.85,3793.76,2538.74,3360.6,0,0,0,0,2060,1033,66.6,33.4,8.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,547.91,0,797.48,405.91,0,2060,1023,66.82,33.18,-48.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.56,4214.01,2666.39,2951.82,150.6,0,0,0,1035,1023,50.29,49.71,11.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804.65,2554.51,1404.19,2841.38,1088.64,288.3,216.58,0,1035,1023,50.29,49.71,3.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,767.36,0,1649.46,859.15,0,1035,2059,33.45,66.55,-14.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.97,3260.2,2726.63,1636.55,0,0,0,0,1044,2059,33.64,66.36,28.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.22,839.07,230.92,1488.82,543.6,2098.4,1580.61,0,1044,2059,33.64,66.36,-25.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,388.7,0,428.86,322.72,0,1044,2046,33.79,66.21,4.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.97,3585.78,3410.8,1147.45,0,0,0,0,1020,2046,33.27,66.73,-3.74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,314.11,0,2620.49,2086.93,0,1020,1023,49.93,50.07,-8.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,246.7,0,1708.27,1521.81,0,1020,1023,49.93,50.07,-33.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072.58,3696.23,3188.48,1520.37,0,0,0,0,2048,1023,66.69,33.31,39.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
